idx,variant,dataset_name,question_id,question,gold_answer,pred_answer,raw_output,has_answer_tag
668,standard,tempreason_split_l2_train,L2_Q6266536_P54_1,"Which team did Johnny Curran play for in Sep, 1948?",Aberdeen F.C.,,Aberdeen F.C.,False
669,standard,tempreason_split_l2_train,L2_Q718450_P39_0,"Which position did Joaquim Rafael Branco hold in Oct, 2000?",Minister of Foreign Affairs of Su00e3o Tomu00e9 and Pru00edncipe,Prime Minister,<answer> Prime Minister </answer>,True
670,standard,tempreason_split_l2_train,L2_Q34266_P35_0,"Who was the head of state of Russian Empire in Jun, 1722?",Peter the Great,Peter III of Russia,<answer> Peter III of Russia </answer>,True
671,standard,tempreason_split_l2_train,L2_Q2429191_P54_1,"Which team did Thorsten Nehrbauer play for in Jul, 1997?",Germany national under-21 football team,Bayer 04 Leverkusen,<answer> Bayer 04 Leverkusen </answer>,True
672,standard,tempreason_split_l2_train,L2_Q4707098_P69_1,"Where was Alan Kreider educated in Jun, 1963?",Heidelberg University,Heidelberg University,<answer> Heidelberg University </answer>,True
673,standard,tempreason_split_l2_train,L2_Q510810_P6_0,"Who was the head of Roskilde Municipality in Oct, 2008?",Poul Lindor Nielsen,Joy Mogensen,<answer> Joy Mogensen </answer>,True
674,standard,tempreason_split_l2_train,L2_Q5525090_P54_2,"Which team did Gary France play for in Mar, 1968?",Bury F.C.,Bury F.C.,<answer> Bury F.C. </answer>,True
675,standard,tempreason_split_l2_train,L2_Q57081_P6_0,"Who was the head of Enebakk in Jul, 2014?",Tonje Andersen Olsen,u00d8ystein Slette,<answer> u00d8ystein Slette </answer>,True
676,standard,tempreason_split_l2_train,L2_Q105844_P286_2,"Who was the head coach of the team Arminia Bielefeld in Oct, 2022?",Daniel Scherning,Daniel Scherning,<answer> Daniel Scherning </answer>,True
677,standard,tempreason_split_l2_train,L2_Q333716_P39_0,"Which position did William Huskisson hold in Oct, 1800?",Member of the 18th Parliament of Great Britain,,Member of the 3rd Parliament of the United Kingdom,False
678,standard,tempreason_split_l2_train,L2_Q37461404_P488_7,"Who was the chair of History of Medicine Society in Apr, 1956?",Douglas James Guthrie,Douglas James Guthrie,<answer> Douglas James Guthrie </answer>,True
679,standard,tempreason_split_l2_train,L2_Q3262301_P39_2,"Which position did Louis Jacquinot hold in Jan, 1961?",Minister of State,Minister of State,<answer> Minister of State </answer>,True
680,standard,tempreason_split_l2_train,L2_Q20675508_P108_1,"Which employer did Michael R. Dietrich work for in Mar, 2000?",Dartmouth College,,Dartmouth College,False
681,standard,tempreason_split_l2_train,L2_Q607427_P108_1,"Which employer did Richard J. Evans work for in Nov, 1987?",University of East Anglia,,University of East Anglia,False
682,standard,tempreason_split_l2_train,L2_Q5722116_P39_13,"Which position did Henry Goulburn hold in Oct, 1849?",Member of the 15th Parliament of the United Kingdom,Member of the 15th Parliament of the United Kingdom,<answer> Member of the 15th Parliament of the United Kingdom </answer>,True
683,standard,tempreason_split_l2_train,L2_Q5800012_P108_1,"Which employer did David Gistau Retes work for in Sep, 2014?",ABC,ABC,<answer> ABC </answer>,True
684,standard,tempreason_split_l2_train,L2_Q41794215_P54_6,"Which team did Luca Bigi play for in Apr, 2020?",Italy national rugby union team,Zebre,<answer> Zebre </answer>,True
685,standard,tempreason_split_l2_train,L2_Q216966_P6_1,"Who was the head of Uzu00e8s in Aug, 1946?",Jeanne Palanque,Jeanne Palanque,<answer> Jeanne Palanque </answer>,True
686,standard,tempreason_split_l2_train,L2_Q106394_P286_5,"Who was the head coach of the team SC Freiburg in Aug, 2011?",Marcus Sorg,Marcus Sorg,<answer> Marcus Sorg </answer>,True
687,standard,tempreason_split_l2_train,L2_Q1422_P488_6,"Who was the chair of Juventus FC in Aug, 1914?",Giuseppe Hess,Giuseppe Hess,<answer> Giuseppe Hess </answer>,True
688,standard,tempreason_split_l2_train,L2_Q7032905_P488_2,"Who was the chair of Nigerian Federal Ministry of Education in Jun, 2009?",Sam Egwu,Igwe Aja-Nwachukwu,<answer> Igwe Aja-Nwachukwu </answer>,True
689,standard,tempreason_split_l2_train,L2_Q35997_P6_16,"Who was the head of u0130zmir in Jul, 2007?",Aziz Kocaou011flu,Aziz Kocaoulu,<answer> Aziz Kocaoulu </answer>,True
690,standard,tempreason_split_l2_train,L2_Q56761427_P108_0,"Which employer did Philippe Bouyer work for in Jan, 1995?",Stanford University,,Laboratoire Charles Fabry,False
691,standard,tempreason_split_l2_train,L2_Q920403_P39_1,"Which position did Micheu00e1l Martin hold in Jan, 2004?",Minister for Health,Minister for Health,<answer> Minister for Health </answer>,True
692,standard,tempreason_split_l2_train,L2_Q635654_P286_1,"Who was the head coach of the team Lyngby Boldklub in Sep, 2018?",Mark Strudal,Mark Strudal,<answer> Mark Strudal </answer>,True
693,standard,tempreason_split_l2_train,L2_Q718952_P54_4,"Which team did Claudio Maldonado play for in Dec, 2004?",Cruzeiro E.C.,Su00e3o Paulo FC,<answer> Su00e3o Paulo FC </answer>,True
694,standard,tempreason_split_l2_train,L2_Q38321_P54_3,"Which team did Arnaud Anastassowa play for in Jun, 2017?",Sarreguemines FC,F91 Dudelange,<answer> F91 Dudelange </answer>,True
695,standard,tempreason_split_l2_train,L2_Q5237629_P39_7,"Which position did David Mitchell hold in Feb, 1988?",Member of the 50th Parliament of the United Kingdom,,Member of the 49th Parliament of the United Kingdom,False
696,standard,tempreason_split_l2_train,L2_Q56034_P488_12,"Who was the chair of Federal Foreign Office in Dec, 2019?",Heiko Maas,Annalena Baerbock,<answer> Annalena Baerbock </answer>,True
697,standard,tempreason_split_l2_train,L2_Q331089_P108_0,"Which employer did Abram Samoilovitch Besicovitch work for in Mar, 1919?",Perm State University,,Saint Petersburg State University,False
698,standard,tempreason_split_l2_train,L2_Q3899049_P54_1,"Which team did Peng Weiguo play for in Aug, 1992?",Guangzhou Football Club,Guangzhou Football Club China national football team,<answer> Guangzhou Football Club China national football team </answer>,True
699,standard,tempreason_split_l2_train,L2_Q525362_P39_0,"Which position did Sonny Perdue hold in Aug, 2000?",member of the Georgia State Senate,member of the Georgia State Senate,<answer> member of the Georgia State Senate </answer>,True
700,standard,tempreason_split_l2_train,L2_Q946040_P488_0,"Who was the chair of National Party of Australia in Jun, 2015?",Warren Truss,Michael McCormack,<answer> Michael McCormack </answer>,True
701,standard,tempreason_split_l2_train,L2_Q2980587_P108_1,"Which employer did Clu00e9ment Chu00e9roux work for in Mar, 2021?",Museum of Modern Art,Henri Cartier-Bresson Foundation,<answer> Henri Cartier-Bresson Foundation </answer>,True
702,standard,tempreason_split_l2_train,L2_Q20725556_P39_1,"Which position did Louis-Charles-Georges-Jules Lafont hold in Sep, 1877?",Governor of French Cochinchina,,Governor of French Cochinchina,False
703,standard,tempreason_split_l2_train,L2_Q7361594_P54_2,"Which team did Roman Bolbocian play for in Sep, 2008?",Ilioupoli S.C.,Ilioupoli S.C.,<answer> Ilioupoli S.C. </answer>,True
704,standard,tempreason_split_l2_train,L2_Q1070311_P488_4,"Who was the chair of Luxembourg Socialist Workers' Party in May, 1978?",Lydie Schmit,Lydie Schmit,<answer> Lydie Schmit </answer>,True
705,standard,tempreason_split_l2_train,L2_Q5091598_P6_2,"Who was the head of Vu0103cu0103reni in Aug, 2021?",Costel Neagu,u0218tefan Stoica,<answer> u0218tefan Stoica </answer>,True
706,standard,tempreason_split_l2_train,L2_Q3619569_P54_1,"Which team did Antonio Ferrara play for in Feb, 1934?",A.S. Livorno,,A.S. Livorno,False
707,standard,tempreason_split_l2_train,L2_Q65989_P108_4,"Which employer did Wolfgang Pauli work for in Jan, 1941?",University of Michigan,University of Michigan,<answer> University of Michigan </answer>,True
708,standard,tempreason_split_l2_train,L2_Q1158_P488_2,"Who was the chair of World Athletics in May, 1978?",Adriaan Paulen,"David Cecil, 6th Marquess of Exeter","<answer> David Cecil, 6th Marquess of Exeter </answer>",True
709,standard,tempreason_split_l2_train,L2_Q3344746_P488_4,"Who was the chair of Notre Europe in Jul, 2022?",Enrico Letta,Enrico Letta,<answer> Enrico Letta </answer>,True
710,standard,tempreason_split_l2_train,L2_Q553229_P39_10,"Which position did Walter Long, 1st Viscount Long hold in Dec, 1919?",First Lord of the Admiralty,Member of the 31st Parliament of the United Kingdom,<answer> Member of the 31st Parliament of the United Kingdom </answer>,True
711,standard,tempreason_split_l2_train,L2_Q27662907_P69_1,"Where was Sharon Lin educated in Feb, 2015?",Columbia University,,Columbia University,False
712,standard,tempreason_split_l2_train,L2_Q902_P6_3,"Who was the head of Bangladesh in Oct, 2006?",Iajuddin Ahmed,Iajuddin Ahmed,<answer> Iajuddin Ahmed </answer>,True
713,standard,tempreason_split_l2_train,L2_Q122880_P488_10,"Who was the chair of European Court of Human Rights in Sep, 2012?",Nicolas Bratza,Dean Spielmann,<answer> Dean Spielmann </answer>,True
714,standard,tempreason_split_l2_train,L2_Q5719665_P39_4,"Which position did Henry Cole hold in Feb, 1864?",Member of the 18th Parliament of the United Kingdom,,Member of the 19th Parliament of the United Kingdom,False
715,standard,tempreason_split_l2_train,L2_Q204237_P286_11,"Who was the head coach of the team FC Dinamo Bucharest in Nov, 2021?",Mircea Rednic,"Duu0161an Uhrin, Jr.","<answer> Duu0161an Uhrin, Jr. </answer>",True
716,standard,tempreason_split_l2_train,L2_Q49653_P488_14,"Who was the chair of ARD in Oct, 1989?",Hartwig Kelm,Reinhold Vu00f6th,<answer> Reinhold Vu00f6th </answer>,True
717,standard,tempreason_split_l2_train,L2_Q49653_P488_5,"Who was the chair of ARD in May, 1961?",Hans Bausch,Hans Bausch,<answer> Hans Bausch </answer>,True
718,standard,tempreason_split_l2_train,L2_Q8028571_P488_1,"Who was the chair of Wittenberg University in Jan, 1873?",Samuel Sprecher,Samuel Sprecher,<answer> Samuel Sprecher </answer>,True
719,standard,tempreason_split_l2_train,L2_Q1773764_P54_10,"Which team did Jamal Campbell-Ryce play for in Jan, 2015?",Notts County F.C.,Notts County F.C.,<answer> Notts County F.C. </answer>,True
720,standard,tempreason_split_l2_train,L2_Q6293753_P54_1,"Which team did Josu00e9 Pu00e9rez Ferrada play for in Jun, 2008?",Toros Neza,Toros Neza,<answer> Toros Neza </answer>,True
721,standard,tempreason_split_l2_train,L2_Q16885562_P39_6,"Which position did Richard Price hold in Feb, 1819?",Member of the 6th Parliament of the United Kingdom,Member of the 6th Parliament of the United Kingdom,<answer> Member of the 6th Parliament of the United Kingdom </answer>,True
722,standard,tempreason_split_l2_train,L2_Q1541135_P54_1,"Which team did Omero Carmellini play for in Nov, 1940?",A.S. Roma,A.S. Roma,<answer> A.S. Roma </answer>,True
723,standard,tempreason_split_l2_train,L2_Q378553_P108_1,"Which employer did J. H. C. Whitehead work for in Jul, 1934?",Balliol College,Balliol College,<answer> Balliol College </answer>,True
724,standard,tempreason_split_l2_train,L2_Q507040_P108_2,"Which employer did Andrew Forsyth work for in Feb, 1921?",Imperial College London,,University of Cambridge,False
725,standard,tempreason_split_l2_train,L2_Q11738032_P54_0,"Which team did Kazimir Kotlinski play for in May, 2002?",Villemomble Handball,,Villemomble Handball,False
726,standard,tempreason_split_l2_train,L2_Q20641466_P54_11,"Which team did Serhiy Shapoval play for in Apr, 2022?",Narew Ostrou0142u0119ka,Narew Ostrou0142u0119ka,<answer> Narew Ostrou0142u0119ka </answer>,True
727,standard,tempreason_split_l2_train,L2_Q2035339_P286_2,"Who was the head coach of the team Alashkert FC in Feb, 2022?",Aram Voskanyan,Aram Voskanyan,<answer> Aram Voskanyan </answer>,True
728,standard,tempreason_split_l2_train,L2_Q92933_P108_0,"Which employer did Per Brinch Hansen work for in Feb, 1966?",Regnecentralen,,Regnecentralen,False
729,standard,tempreason_split_l2_train,L2_Q104746_P6_2,"Who was the head of Kronoberg county in Jul, 2018?",Ingrid Burman,Ingrid Burman,<answer> Ingrid Burman </answer>,True
730,standard,tempreason_split_l2_train,L2_Q847587_P286_3,"Who was the head coach of the team U.S. Salernitana 1919 in Aug, 2021?",Fabrizio Castori,Fabrizio Castori,<answer> Fabrizio Castori </answer>,True
731,standard,tempreason_split_l2_train,L2_Q7364676_P39_0,"Which position did Ronald Bell hold in May, 1945?",Member of the 37th Parliament of the United Kingdom,,Member of the 37th Parliament of the United Kingdom,False
732,standard,tempreason_split_l2_train,L2_Q2867685_P488_5,"Who was the chair of Association for Women in Mathematics in Oct, 1983?",Linda Preiss Rothschild,,Linda Preiss Rothschild,False
733,standard,tempreason_split_l2_train,L2_Q2867685_P488_3,"Who was the chair of Association for Women in Mathematics in Mar, 1979?",Judith Roitman,Judith Roitman,<answer> Judith Roitman </answer>,True
734,standard,tempreason_split_l2_train,L2_Q7793086_P39_2,"Which position did Thomas Pelham, 1st Earl of Chichester hold in Jun, 1775?",Keeper of the Great Wardrobe,Keeper of the Great Wardrobe,<answer> Keeper of the Great Wardrobe </answer>,True
735,standard,tempreason_split_l2_train,L2_Q7340878_P54_3,"Which team did Robbie Devereux play for in Mar, 1996?",Dundalk F.C.,Shelbourne F.C.,<answer> Shelbourne F.C. </answer>,True
736,standard,tempreason_split_l2_train,L2_Q16066278_P39_3,"Which position did Sir Arthur Brooke, 2nd Baronet hold in Jan, 1853?",Member of the 16th Parliament of the United Kingdom,,Member of the 16th Parliament of the United Kingdom,False
737,standard,tempreason_split_l2_train,L2_Q7900720_P102_1,"Which political party did Urmas Arumu00e4e belong to in Apr, 1992?",National Coalition Party Pro Patria,National Coalition Party Pro Patria,<answer> National Coalition Party Pro Patria </answer>,True
738,standard,tempreason_split_l2_train,L2_Q2994429_P488_3,"Who was the chair of National Council for Scientific and Technological Development in Sep, 1999?",Evando Mirra de Paula e Silva,Evandro Mirra de Paula e Silva,<answer> Evandro Mirra de Paula e Silva </answer>,True
739,standard,tempreason_split_l2_train,L2_Q17180537_P39_1,"Which position did Sir Henry Stracey, 5th Baronet hold in Oct, 1860?",Member of the 18th Parliament of the United Kingdom,,Member of the 18th Parliament of the United Kingdom,False
740,standard,tempreason_split_l2_train,L2_Q269977_P39_3,"Which position did Paul Burstow hold in Mar, 2010?",Member of the 54th Parliament of the United Kingdom,Minister of State for Care Services,<answer> Minister of State for Care Services </answer>,True
741,standard,tempreason_split_l2_train,L2_Q186478_P54_1,"Which team did Luca Toni play for in May, 1996?",Empoli F.C.,Empoli F.C.,<answer> Empoli F.C. </answer>,True
742,standard,tempreason_split_l2_train,L2_Q885553_P39_1,"Which position did Wilson Cary Nicholas hold in Jul, 1807?",United States representative,,United States representative,False
743,standard,tempreason_split_l2_train,L2_Q2445379_P54_2,"Which team did William Chalmers play for in Jul, 1927?",Rangers F.C.,Queens Park Rangers F.C.,<answer> Queens Park Rangers F.C. </answer>,True
744,standard,tempreason_split_l2_train,L2_Q2360417_P39_2,"Which position did Stu00e9phen Liu00e9geard hold in Nov, 1915?",president,sub-prefect,<answer> sub-prefect </answer>,True
745,standard,tempreason_split_l2_train,L2_Q5210968_P54_0,"Which team did Dalibor Poldrugau010d play for in Jul, 1993?",NK Dubrava,NK Dubrava,<answer> NK Dubrava </answer>,True
746,standard,tempreason_split_l2_train,L2_Q744798_P102_2,"Which political party did Ciro Gomes belong to in Oct, 1992?",Brazilian Social Democracy Party,Brazilian Social Democracy Party,<answer> Brazilian Social Democracy Party </answer>,True
747,standard,tempreason_split_l2_train,L2_Q55216389_P286_1,"Who was the head coach of the team SCM Gloria Buzu0103u in Nov, 2021?",Cristian Pustai,,Cristian Pustai,False
748,standard,tempreason_split_l2_train,L2_Q40919890_P69_0,"Where was Josephine Ortleb educated in Nov, 1999?",Gymnasium am Schloss,University of Cologne,<answer> University of Cologne </answer>,True
749,standard,tempreason_split_l2_train,L2_Q772725_P286_7,"Who was the head coach of the team FC Dynamo Brest in Oct, 2022?",Andrej Prakapiuk,Andrey Prakapiuk,<answer> Andrey Prakapiuk </answer>,True
750,standard,tempreason_split_l2_train,L2_Q5314475_P39_4,"Which position did Duncan Macgregor Graham hold in Mar, 1931?",Member of the 35th Parliament of the United Kingdom,Member of the 35th Parliament of the United Kingdom,<answer> Member of the 35th Parliament of the United Kingdom </answer>,True
751,standard,tempreason_split_l2_train,L2_Q4993409_P39_3,"Which position did Einar Steensnu00e6s hold in May, 2004?",member of the Parliament of Norway,Minister of Petroleum and Energy,<answer> Minister of Petroleum and Energy </answer>,True
752,standard,tempreason_split_l2_train,L2_Q15047465_P39_1,"Which position did John Sutherland hold in Apr, 1909?",Member of the 28th Parliament of the United Kingdom,Member of the 28th Parliament of the United Kingdom,<answer> Member of the 28th Parliament of the United Kingdom </answer>,True
753,standard,tempreason_split_l2_train,L2_Q3383943_P39_2,"Which position did Pierre Bernard-Reymond hold in Mar, 2001?",mayor of Gap,mayor of Gap,<answer> mayor of Gap </answer>,True
754,standard,tempreason_split_l2_train,L2_Q6273853_P108_1,"Which employer did Jonathan Maxcy work for in Apr, 1803?",Union College,,Union College,False
755,standard,tempreason_split_l2_train,L2_Q11667656_P488_0,"Who was the chair of Ukrainian Athletic Federation in Jan, 1999?",Valeriy Borzov,Valeriy Borzov,<answer> Valeriy Borzov </answer>,True
756,standard,tempreason_split_l2_train,L2_Q92930_P108_4,"Which employer did Theodore Ts'o work for in Dec, 2019?",Google,Google,<answer> Google </answer>,True
757,standard,tempreason_split_l2_train,L2_Q7963468_P54_2,"Which team did Wally Quinton play for in Oct, 1943?",Birmingham City F.C.,Rotherham United F.C.,<answer> Rotherham United F.C. </answer>,True
758,standard,tempreason_split_l2_train,L2_Q16344_P286_5,"Who was the head coach of the team A.C. Perugia Calcio in Jul, 2020?",Massimo Oddo,Massimo Oddo,<answer> Massimo Oddo </answer>,True
759,standard,tempreason_split_l2_train,L2_Q106653075_P54_2,"Which team did Yvan Dibango play for in Dec, 2022?",FC Levadia Tallinn,FC Levadia Tallinn,<answer> FC Levadia Tallinn </answer>,True
760,standard,tempreason_split_l2_train,L2_Q2903363_P39_0,"Which position did Michele Gortani hold in Jul, 1919?",member of the Chamber of Deputies of the Kingdom of Italy,member of the Chamber of Deputies of the Kingdom of Italy,<answer> member of the Chamber of Deputies of the Kingdom of Italy </answer>,True
761,standard,tempreason_split_l2_train,L2_Q131600_P6_1,"Who was the head of Dinard in Aug, 2016?",Martine Craveia-Schu00fctz,Arnaud Salmon,<answer> Arnaud Salmon </answer>,True
762,standard,tempreason_split_l2_train,L2_Q1129387_P286_1,"Who was the head coach of the team FK Shku00ebndija in Oct, 2021?",Bruno Akrapoviu0107,,Bruno Akrapović,False
763,standard,tempreason_split_l2_train,L2_Q7528794_P39_0,"Which position did Sir Robert Harvey, 1st Baronet, of Langley Park hold in Jun, 1864?",Member of the 18th Parliament of the United Kingdom,Member of the 18th Parliament of the United Kingdom,<answer> Member of the 18th Parliament of the United Kingdom </answer>,True
764,standard,tempreason_split_l2_train,L2_Q4512_P286_7,"Who was the head coach of the team VfB Stuttgart in Aug, 2014?",Armin Veh,,Thomas Schneider,False
765,standard,tempreason_split_l2_train,L2_Q354099_P39_2,"Which position did Millard Evelyn Tydings hold in Feb, 1925?",United States representative,member of the State Senate of Maryland,<answer> member of the State Senate of Maryland </answer>,True
766,standard,tempreason_split_l2_train,L2_Q6811383_P108_0,"Which employer did Melanie Wood work for in Aug, 2010?",Stanford University,,University of Wisconsin-Madison,False
767,standard,tempreason_split_l2_train,L2_Q6037197_P54_2,"Which team did Johan Patriksson play for in Mar, 2010?",Ljungskile SK,,GIF Sundsvall,False
768,standard,tempreason_split_l2_train,L2_Q455616_P108_0,"Which employer did Kiyoshi Itu014d work for in May, 1939?",Statistics Japan,Statistics Japan,<answer> Statistics Japan </answer>,True
769,standard,tempreason_split_l2_train,L2_Q243915_P6_24,"Who was the head of Aimargues in Jan, 1908?",Louis Barbusse,Louis Barbusse,<answer> Louis Barbusse </answer>,True
770,standard,tempreason_split_l2_train,L2_Q243915_P6_5,"Who was the head of Aimargues in Aug, 1805?",Pierre Paulet,Pierre Paulet,<answer> Pierre Paulet </answer>,True
771,standard,tempreason_split_l2_train,L2_Q243915_P6_22,"Who was the head of Aimargues in Jun, 1902?",Louis Martin-Laffite,Louis Barbusse,<answer> Louis Barbusse </answer>,True
772,standard,tempreason_split_l2_train,L2_Q3903376_P39_1,"Which position did Piero Torrigiani hold in Mar, 1884?",mayor of Scandicci,mayor of Scandicci,<answer> mayor of Scandicci </answer>,True
773,standard,tempreason_split_l2_train,L2_Q84608_P108_3,"Which employer did Eduard Helly work for in Jan, 1943?",Illinois Institute of Technology,,Illinois Institute of Technology,False
774,standard,tempreason_split_l2_train,L2_Q1156_P6_1,"Who was the head of Mumbai in Sep, 2019?",Vishwanath Mahadeshwar,Vishwanath Mahadeshwar,<answer> Vishwanath Mahadeshwar </answer>,True
775,standard,tempreason_split_l2_train,L2_Q868325_P488_2,"Who was the chair of Roman Catholic Diocese of Denpasar in Nov, 2006?",Benyamin Yosef Bria,Sylvester Tung Kiem San,<answer> Sylvester Tung Kiem San </answer>,True
776,standard,tempreason_split_l2_train,L2_Q5542946_P39_5,"Which position did Richard Nugent, Baron Nugent of Guildford hold in May, 1968?",Member of the House of Lords,Member of the House of Lords,<answer> Member of the House of Lords </answer>,True
777,standard,tempreason_split_l2_train,L2_Q64819784_P108_0,"Which employer did Ann Sarnoff work for in Jan, 2004?",Women's National Basketball Association,,Women's National Basketball Association,False
778,standard,tempreason_split_l2_train,L2_Q55956140_P69_1,"Where was Susan Krumdieck educated in Sep, 1985?",Arizona State University,Arizona State University,<answer> Arizona State University </answer>,True
779,standard,tempreason_split_l2_train,L2_Q20707512_P54_7,"Which team did Thomas Gilchrist play for in Sep, 1921?",Bo'ness F.C.,Bo'ness F.C.,<answer> Bo'ness F.C. </answer>,True
780,standard,tempreason_split_l2_train,L2_Q13733010_P54_1,"Which team did Nora Heroum play for in Jan, 2013?",FC Honka,FC Honka,<answer> FC Honka </answer>,True
781,standard,tempreason_split_l2_train,L2_Q69183_P108_1,"Which employer did Ernst-Wolfgang Bu00f6ckenfu00f6rde work for in Jul, 1969?",Bielefeld University,Bielefeld University,<answer> Bielefeld University </answer>,True
782,standard,tempreason_split_l2_train,L2_Q3823626_P54_7,"Which team did Predrag Juriu0107 play for in Oct, 1995?",NK Hrvatski Dragovoljac,NK Hrvatski Dragovoljac,<answer> NK Hrvatski Dragovoljac </answer>,True
783,standard,tempreason_split_l2_train,L2_Q7436370_P54_4,"Which team did Scott Frost play for in Jul, 2001?",Green Bay Packers,Cleveland Browns,<answer> Cleveland Browns </answer>,True
784,standard,tempreason_split_l2_train,L2_Q5237274_P54_1,"Which team did David McAughtrie play for in Nov, 1984?",Carlisle United F.C.,,Carlisle United F.C.,False
785,standard,tempreason_split_l2_train,L2_Q7916867_P54_3,"Which team did Vaso Sepashvili play for in Feb, 1995?",FC Lada-Tolyatti,FC Kakheti Telavi,<answer> FC Kakheti Telavi </answer>,True
786,standard,tempreason_split_l2_train,L2_Q34600_P6_14,"Who was the head of Kyoto in Dec, 1957?",Yoshizu014d Takayama,Yoshizu014d Takayama,<answer> Yoshizu014d Takayama </answer>,True
787,standard,tempreason_split_l2_train,L2_Q6790754_P39_4,"Which position did Matthew Joseph Kenny hold in Jan, 1914?",Queen's Counsel,Queen's Counsel,<answer> Queen's Counsel </answer>,True
788,standard,tempreason_split_l2_train,L2_Q1543_P286_8,"Who was the head coach of the team Associazione Calcio Milan in May, 2014?",Becali,Gennaro Gattuso,<answer> Gennaro Gattuso </answer>,True
789,standard,tempreason_split_l2_train,L2_Q589780_P102_2,"Which political party did Enrique Monsonu00eds belong to in Oct, 1999?",Valencian Union,Union of the Democratic Centre,<answer> Union of the Democratic Centre </answer>,True
790,standard,tempreason_split_l2_train,L2_Q1138982_P488_7,"Who was the chair of Christian Democrats in Jul, 2009?",Pu00e4ivi Ru00e4su00e4nen,Olavi Majlander,<answer> Olavi Majlander </answer>,True
791,standard,tempreason_split_l2_train,L2_Q1981608_P69_1,"Where was Daniel Levitin educated in Nov, 1978?","California State University,Fresno",,"California State University, Fresno",False
792,standard,tempreason_split_l2_train,L2_Q16211644_P54_6,"Which team did Darko Jozinoviu0107 play for in Jan, 2007?",NK Vinogradar,,NK Radnik Velika Gorica,False
793,standard,tempreason_split_l2_train,L2_Q4894429_P54_3,"Which team did Bernie Lewis play for in Jan, 1972?",Southend United F.C.,,Southend United F.C.,False
794,standard,tempreason_split_l2_train,L2_Q5756351_P39_0,"Which position did Mats Gerdau hold in Mar, 2012?",member of the Swedish Riksdag,member of the Swedish Riksdag,<answer> member of the Swedish Riksdag </answer>,True
795,standard,tempreason_split_l2_train,L2_Q15443182_P108_1,"Which employer did Francis Coker work for in Dec, 1909?",Princeton University,,Princeton University,False
796,standard,tempreason_split_l2_train,L2_Q5476119_P6_2,"Who was the head of Fourth Labour Government of New Zealand in Sep, 1990?",Mike Moore,Geoffrey Palmer,<answer> Geoffrey Palmer </answer>,True
797,standard,tempreason_split_l2_train,L2_Q320_P69_5,"Where was Michelle Bachelet educated in Jan, 1996?",Academia Nacional de Estudios Polu00edticos y Estratu00e9gicos,Academia Nacional de Estudios Políticos y Estratégicos,<answer> Academia Nacional de Estudios Políticos y Estratégicos </answer>,True
798,standard,tempreason_split_l2_train,L2_Q69931772_P54_1,"Which team did Jonathan Carlsbogu00e5rd play for in Jun, 2019?",TBV Lemgo,,TBV Lemgo,False
799,standard,tempreason_split_l2_train,L2_Q1633909_P6_0,"Who was the head of Usurbil in Dec, 2010?",Xabier Mikel Errekondo,Agurtzane Solabarrieta,<answer> Agurtzane Solabarrieta </answer>,True
800,standard,tempreason_split_l2_train,L2_Q4162776_P54_5,"Which team did Serhiy Dmytriyev play for in Jan, 2006?",FC Olimpik Donetsk,FC Olimpik Donetsk,<answer> FC Olimpik Donetsk </answer>,True
801,standard,tempreason_split_l2_train,L2_Q12470931_P69_0,"Where was Agus Gumiwang Kartasasmita educated in Nov, 1985?",Williston Northampton School,Williston Northampton School,<answer> Williston Northampton School </answer>,True
802,standard,tempreason_split_l2_train,L2_Q148861_P488_1,"Who was the chair of German Communist Party in Apr, 1996?",Heinz Stehr,Heinz Stehr,<answer> Heinz Stehr </answer>,True
803,standard,tempreason_split_l2_train,L2_Q51577952_P108_2,"Which employer did Julia Ebner work for in Mar, 2021?",Institute for Strategic Dialogue,Institute for Strategic Dialogue,<answer> Institute for Strategic Dialogue </answer>,True
804,standard,tempreason_split_l2_train,L2_Q208574_P286_0,"Who was the head coach of the team FK Rabotniu010dki in Oct, 2008?",Boban Babunski,Ratko Dostanić,<answer> Ratko Dostanić </answer>,True
805,standard,tempreason_split_l2_train,L2_Q5710_P6_0,"Who was the head of Republic of Bashkortostan in May, 2013?",Rustem Khamitov,Rustem Khamitov,<answer> Rustem Khamitov </answer>,True
806,standard,tempreason_split_l2_train,L2_Q631_P286_3,"Who was the head coach of the team FC Inter Milan in Nov, 1985?",Ilario Castagner,Ilario Castagner,<answer> Ilario Castagner </answer>,True
807,standard,tempreason_split_l2_train,L2_Q11739162_P488_7,"Who was the chair of Kyiv City State Administration in Feb, 2015?",Vitaliy Klitschko,Vladimir Makeienko,<answer> Vladimir Makeienko </answer>,True
808,standard,tempreason_split_l2_train,L2_Q1385051_P108_1,"Which employer did Norman Steenrod work for in Apr, 1942?",University of Michigan,,University of Michigan,False
809,standard,tempreason_split_l2_train,L2_Q5952274_P39_3,"Which position did Hyacinth Morgan hold in Jul, 1951?",Member of the 39th Parliament of the United Kingdom,Member of the 39th Parliament of the United Kingdom,<answer> Member of the 39th Parliament of the United Kingdom </answer>,True
810,standard,tempreason_split_l2_train,L2_Q17497_P286_2,"Who was the head coach of the team FC Dinamo Moscow in Oct, 2020?",Alyaksandr Kulchy,Alyaksandr Kulchy,<answer> Alyaksandr Kulchy </answer>,True
